bugfish	:bug: :fish:
bughouse	:bug: :house:
bugbear	:bug: :bear:
bugeyes	:bug: :eyes:
bugong	:bug: :o: :ng:
skullfish	:skull: :fish:
ragees	:rage: :es:
rageous	:rage: :o: :us:
cakebox	:cake: :b: :ox:
cakehouse	:cake: :house:
cakebread	:cake: :bread:
pigboat	:pig: :boat:
pigman	:pig: :man:
pigfishes	:pig: :fish: :es:
pigfish	:pig: :fish:
shipboy	:ship: :boy:
shippound	:ship: :pound:
shipmanship	:ship: :man: :ship:
shipman	:ship: :man:
shita	:shit: :a:
lemonfish	:lemon: :fish:
lemonfishes	:lemon: :fish: :es:
lemonade	:lemon: :a: :de:
peaches	:peach: :es:
peachblossom	:peach: :blossom:
bootboy	:boot: :boy:
bootes	:boot: :es:
bootman	:boot: :man:
boottop	:boot: :top:
bookman	:book: :man:
bookit	:book: :it:
bookend	:book: :end:
boomboxes	:boom: :b: :o: :x: :es:
boomboat	:boom: :boat:
boombox	:boom: :b: :ox:
starship	:star: :ship:
stares	:star: :es:
starkey	:star: :key:
starnose	:star: :nose:
starfishes	:star: :fish: :es:
starring	:star: :ring:
starfish	:star: :fish:
starves	:star: :v: :es:
tauruses	:taurus: :es:
ghostfish	:ghost: :fish:
ghostfishes	:ghost: :fish: :es:
ghostship	:ghost: :ship:
spadesman	:spades: :man:
maskoid	:mask: :o: :id:
maskmv	:mask: :m: :v:
